# dataset: /DYJetsToMuMu_H2ErratumFix_TuneCP5_13TeV-powhegMiNNLO-pythia8-photos/RunIISummer20UL16MiniAODv2-106X_mcRun2_asymptotic_v17-v2/MINIAODSIM
# preferred site: T1_US_FNAL_Disk (root://cmsxrootd.fnal.gov/)
# files: 1731  events: 96424820  bytes: 4385522296149 (4.386 TB)
#lfn	size	nevents	adler32	source
/store/mc/RunIISummer20UL16MiniAODv2/DYJetsToMuMu_H2ErratumFix_TuneCP5_13TeV-powhegMiNNLO-pythia8-photos/MINIAODSIM/106X_mcRun2_asymptotic_v17-v2/2820000/12C1F515-3F09-4D41-B193-37C9C0D1CCBA.root	2066952309	45414	1d05d0bc	root://cmsxrootd.fnal.gov/
/store/mc/RunIISummer20UL16MiniAODv2/DYJetsToMuMu_H2ErratumFix_TuneCP5_13TeV-powhegMiNNLO-pythia8-photos/MINIAODSIM/106X_mcRun2_asymptotic_v17-v2/2820000/131269C5-5F2D-5F4A-A48A-B9D41D2890F9.root	2421150887	53244	a0be6445	root://cmsxrootd.fnal.gov/
/store/mc/RunIISummer20UL16MiniAODv2/DYJetsToMuMu_H2ErratumFix_TuneCP5_13TeV-powhegMiNNLO-pythia8-photos/MINIAODSIM/106X_mcRun2_asymptotic_v17-v2/2820000/13DE0B09-D101-2642-9251-898EBF594E5A.root	37561890	783	a918ce59	root://cmsxrootd.fnal.gov/
/store/mc/RunIISummer20UL16MiniAODv2/DYJetsToMuMu_H2ErratumFix_TuneCP5_13TeV-powhegMiNNLO-pythia8-photos/MINIAODSIM/106X_mcRun2_asymptotic_v17-v2/2820000/1560BC8A-91E6-4244-B5C7-17E9A0F2F48F.root	2704817164	59508	f2335695	root://cmsxrootd.fnal.gov/
/store/mc/RunIISummer20UL16MiniAODv2/DYJetsToMuMu_H2ErratumFix_TuneCP5_13TeV-powhegMiNNLO-pythia8-photos/MINIAODSIM/106X_mcRun2_asymptotic_v17-v2/2820000/160FB4A0-2BB8-4542-B255-56DB6A178129.root	2497391491	54810	4e04527a	root://cmsxrootd.fnal.gov/
/store/mc/RunIISummer20UL16MiniAODv2/DYJetsToMuMu_H2ErratumFix_TuneCP5_13TeV-powhegMiNNLO-pythia8-photos/MINIAODSIM/106X_mcRun2_asymptotic_v17-v2/2820000/16E59AA2-5954-DD4A-9B83-6621E7A20F39.root	4029707685	88479	b2feae1c	root://cmsxrootd.fnal.gov/
/store/mc/RunIISummer20UL16MiniAODv2/DYJetsToMuMu_H2ErratumFix_TuneCP5_13TeV-powhegMiNNLO-pythia8-photos/MINIAODSIM/106X_mcRun2_asymptotic_v17-v2/2820000/171C5CFF-4645-3849-B607-9BC6A1213687.root	2564423299	56376	a62aa9ea	root://cmsxrootd.fnal.gov/
/store/mc/RunIISummer20UL16MiniAODv2/DYJetsToMuMu_H2ErratumFix_TuneCP5_13TeV-powhegMiNNLO-pythia8-photos/MINIAODSIM/106X_mcRun2_asymptotic_v17-v2/2820000/185E25D9-7A65-7848-8760-11C56EC485DF.root	2954859977	64989	173d1010	root://cmsxrootd.fnal.gov/
/store/mc/RunIISummer20UL16MiniAODv2/DYJetsToMuMu_H2ErratumFix_TuneCP5_13TeV-powhegMiNNLO-pythia8-photos/MINIAODSIM/106X_mcRun2_asymptotic_v17-v2/2820000/18640B98-03B0-C742-B1D6-10606BF723CF.root	2988775217	65772	dc031bf4	root://cmsxrootd.fnal.gov/
/store/mc/RunIISummer20UL16MiniAODv2/DYJetsToMuMu_H2ErratumFix_TuneCP5_13TeV-powhegMiNNLO-pythia8-photos/MINIAODSIM/106X_mcRun2_asymptotic_v17-v2/2820000/18962BEE-C43A-3746-B9BA-455B6858C445.root	2601271341	57159	4f676f4c	root://cmsxrootd.fnal.gov/
/store/mc/RunIISummer20UL16MiniAODv2/DYJetsToMuMu_H2ErratumFix_TuneCP5_13TeV-powhegMiNNLO-pythia8-photos/MINIAODSIM/106X_mcRun2_asymptotic_v17-v2/2820000/1A9BA845-40FC-654D-BFCA-5393FEBF4A10.root	2245051614	49329	3f3926bd	root://cmsxrootd.fnal.gov/
/store/mc/RunIISummer20UL16MiniAODv2/DYJetsToMuMu_H2ErratumFix_TuneCP5_13TeV-powhegMiNNLO-pythia8-photos/MINIAODSIM/106X_mcRun2_asymptotic_v17-v2/2820000/1AC257D0-4B0D-904F-978E-F1EEF1F2F038.root	2065636005	45414	b4a09db6	root://cmsxrootd.fnal.gov/
/store/mc/RunIISummer20UL16MiniAODv2/DYJetsToMuMu_H2ErratumFix_TuneCP5_13TeV-powhegMiNNLO-pythia8-photos/MINIAODSIM/106X_mcRun2_asymptotic_v17-v2/2820000/1C1D643A-32B2-5142-9DC8-8D64AA4ADB41.root	2560010718	56376	cb87621e	root://cmsxrootd.fnal.gov/
/store/mc/RunIISummer20UL16MiniAODv2/DYJetsToMuMu_H2ErratumFix_TuneCP5_13TeV-powhegMiNNLO-pythia8-photos/MINIAODSIM/106X_mcRun2_asymptotic_v17-v2/2820000/1DA04C94-3B56-7843-948B-1F0B30EE8C15.root	2064930957	45414	12b5e52b	root://cmsxrootd.fnal.gov/
/store/mc/RunIISummer20UL16MiniAODv2/DYJetsToMuMu_H2ErratumFix_TuneCP5_13TeV-powhegMiNNLO-pythia8-photos/MINIAODSIM/106X_mcRun2_asymptotic_v17-v2/2820000/1DFF0A11-797E-7041-BCB5-4A7F73383D5B.root	2026585524	44631	c9790cdc	root://cmsxrootd.fnal.gov/
/store/mc/RunIISummer20UL16MiniAODv2/DYJetsToMuMu_H2ErratumFix_TuneCP5_13TeV-powhegMiNNLO-pythia8-photos/MINIAODSIM/106X_mcRun2_asymptotic_v17-v2/2820000/1E3D9FE4-DA60-B844-8906-1AA1C92FA67F.root	712830438	15660	ebd16e96	root://cmsxrootd.fnal.gov/
/store/mc/RunIISummer20UL16MiniAODv2/DYJetsToMuMu_H2ErratumFix_TuneCP5_13TeV-powhegMiNNLO-pythia8-photos/MINIAODSIM/106X_mcRun2_asymptotic_v17-v2/2820000/1E551752-E3AA-AF4D-99B7-FFA49FF3D1A8.root	2175320043	47763	08594425	root://cmsxrootd.fnal.gov/
/store/mc/RunIISummer20UL16MiniAODv2/DYJetsToMuMu_H2ErratumFix_TuneCP5_13TeV-powhegMiNNLO-pythia8-photos/MINIAODSIM/106X_mcRun2_asymptotic_v17-v2/2820000/1FDC96BC-52B1-4145-97FF-6604739F3B6D.root	2241843259	49329	a27a1aca	root://cmsxrootd.fnal.gov/
/store/mc/RunIISummer20UL16MiniAODv2/DYJetsToMuMu_H2ErratumFix_TuneCP5_13TeV-powhegMiNNLO-pythia8-photos/MINIAODSIM/106X_mcRun2_asymptotic_v17-v2/2820000/204A2FB6-F2FB-404A-B7E5-192353B1E131.root	37694804	783	680d4bd1	root://cmsxrootd.fnal.gov/
/store/mc/RunIISummer20UL16MiniAODv2/DYJetsToMuMu_H2ErratumFix_TuneCP5_13TeV-powhegMiNNLO-pythia8-photos/MINIAODSIM/106X_mcRun2_asymptotic_v17-v2/2820000/209DE340-2651-564C-8AAA-EBC040871ADE.root	2889399386	63423	6e4e4f3e	root://cmsxrootd.fnal.gov/
/store/mc/RunIISummer20UL16MiniAODv2/DYJetsToMuMu_H2ErratumFix_TuneCP5_13TeV-powhegMiNNLO-pythia8-photos/MINIAODSIM/106X_mcRun2_asymptotic_v17-v2/2820000/210F4B9F-7257-5041-B514-9DDEE73A312E.root	2177489645	47763	46c8bead	root://cmsxrootd.fnal.gov/
/store/mc/RunIISummer20UL16MiniAODv2/DYJetsToMuMu_H2ErratumFix_TuneCP5_13TeV-powhegMiNNLO-pythia8-photos/MINIAODSIM/106X_mcRun2_asymptotic_v17-v2/2820000/213DD5BD-45AC-1C4E-AA2D-D8E6EE4E930D.root	2171149077	47763	c5b045db	root://cmsxrootd.fnal.gov/
/store/mc/RunIISummer20UL16MiniAODv2/DYJetsToMuMu_H2ErratumFix_TuneCP5_13TeV-powhegMiNNLO-pythia8-photos/MINIAODSIM/106X_mcRun2_asymptotic_v17-v2/2820000/21F859EE-6540-7540-AA3C-4D9402E7E59E.root	2816733112	61857	5b0df7a8	root://cmsxrootd.fnal.gov/
/store/mc/RunIISummer20UL16MiniAODv2/DYJetsToMuMu_H2ErratumFix_TuneCP5_13TeV-powhegMiNNLO-pythia8-photos/MINIAODSIM/106X_mcRun2_asymptotic_v17-v2/2820000/224DBD21-8E20-7C43-887F-38A9904950AA.root	2032619523	44631	9482ca88	root://cmsxrootd.fnal.gov/
/store/mc/RunIISummer20UL16MiniAODv2/DYJetsToMuMu_H2ErratumFix_TuneCP5_13TeV-powhegMiNNLO-pythia8-photos/MINIAODSIM/106X_mcRun2_asymptotic_v17-v2/2820000/2415AAEE-8AC4-ED44-8BF3-6184771F3524.root	1815025170	39933	7d45aca5	root://cmsxrootd.fnal.gov/
/store/mc/RunIISummer20UL16MiniAODv2/DYJetsToMuMu_H2ErratumFix_TuneCP5_13TeV-powhegMiNNLO-pythia8-photos/MINIAODSIM/106X_mcRun2_asymptotic_v17-v2/2820000/24B5DA80-D2C1-654A-BE06-7A14F83A9CF3.root	2847217047	62640	0e8eb9af	root://cmsxrootd.fnal.gov/
/store/mc/RunIISummer20UL16MiniAODv2/DYJetsToMuMu_H2ErratumFix_TuneCP5_13TeV-powhegMiNNLO-pythia8-photos/MINIAODSIM/106X_mcRun2_asymptotic_v17-v2/2820000/257FD262-DAE6-E049-A5CC-30EA50B5FBB7.root	2669250608	58725	3fb5ccfa	root://cmsxrootd.fnal.gov/
/store/mc/RunIISummer20UL16MiniAODv2/DYJetsToMuMu_H2ErratumFix_TuneCP5_13TeV-powhegMiNNLO-pythia8-photos/MINIAODSIM/106X_mcRun2_asymptotic_v17-v2/2820000/289D1041-3251-2A43-9239-BA6997624294.root	2424757419	53244	791b7144	root://cmsxrootd.fnal.gov/
/store/mc/RunIISummer20UL16MiniAODv2/DYJetsToMuMu_H2ErratumFix_TuneCP5_13TeV-powhegMiNNLO-pythia8-photos/MINIAODSIM/106X_mcRun2_asymptotic_v17-v2/2820000/294AE885-D469-8848-AE6E-914E507700E8.root	3130868011	68904	5bd470e7	root://cmsxrootd.fnal.gov/
/store/mc/RunIISummer20UL16MiniAODv2/DYJetsToMuMu_H2ErratumFix_TuneCP5_13TeV-powhegMiNNLO-pythia8-photos/MINIAODSIM/106X_mcRun2_asymptotic_v17-v2/2820000/2A9510A8-A893-DB4B-98EA-EBE82890F16E.root	1744728275	38367	bb787d16	root://cmsxrootd.fnal.gov/
/store/mc/RunIISummer20UL16MiniAODv2/DYJetsToMuMu_H2ErratumFix_TuneCP5_13TeV-powhegMiNNLO-pythia8-photos/MINIAODSIM/106X_mcRun2_asymptotic_v17-v2/2820000/2ABE9104-39E4-9347-8A83-388BDECF3F7F.root	2033112497	44631	17f5f138	root://cmsxrootd.fnal.gov/
/store/mc/RunIISummer20UL16MiniAODv2/DYJetsToMuMu_H2ErratumFix_TuneCP5_13TeV-powhegMiNNLO-pythia8-photos/MINIAODSIM/106X_mcRun2_asymptotic_v17-v2/2820000/2C0FE350-CB69-6D47-ABA5-930376A5B9B9.root	2135948629	46980	84e5b858	root://cmsxrootd.fnal.gov/
/store/mc/RunIISummer20UL16MiniAODv2/DYJetsToMuMu_H2ErratumFix_TuneCP5_13TeV-powhegMiNNLO-pythia8-photos/MINIAODSIM/106X_mcRun2_asymptotic_v17-v2/2820000/2C3A243B-A857-5448-BF53-18F486A82BCA.root	2782522941	61074	82daa95f	root://cmsxrootd.fnal.gov/
/store/mc/RunIISummer20UL16MiniAODv2/DYJetsToMuMu_H2ErratumFix_TuneCP5_13TeV-powhegMiNNLO-pythia8-photos/MINIAODSIM/106X_mcRun2_asymptotic_v17-v2/2820000/2D05761C-6130-1C49-AF05-B50A5AE27EA9.root	2169233472	47763	fc9ad96d	root://cmsxrootd.fnal.gov/
/store/mc/RunIISummer20UL16MiniAODv2/DYJetsToMuMu_H2ErratumFix_TuneCP5_13TeV-powhegMiNNLO-pythia8-photos/MINIAODSIM/106X_mcRun2_asymptotic_v17-v2/2820000/2F530B3F-EF5B-534E-8843-B3EB909B0E5F.root	2957534325	64989	6779235b	root://cmsxrootd.fnal.gov/
